trial,round,label,tx_count,throughput_tps,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,block_commit_time_ms,counterfeit_detected,counterfeit_total,detection_accuracy_pct,cpu_usage_pct,memory_usage_mb,network_io_mbps,block_size,batch_timeout_s,payload_size_bytes,timestamp
1,1,drug-registration,10000,2756,1.31,1.28,1.89,2.14,487,0,0,,42.3,1847,38.2,100,1,512,2024-01-15T08:00:00Z
1,2,custody-transfer,25000,2801,1.29,1.26,1.87,2.11,491,3721,3750,99.23,44.1,1923,39.7,100,1,512,2024-01-15T08:45:00Z
1,3,counterfeit-alert,5000,2834,1.27,1.24,1.85,2.09,483,747,750,99.6,43.8,1901,38.9,100,1,512,2024-01-15T09:15:00Z
1,4,peak-throughput,50000,2791,1.32,1.29,1.91,2.17,495,7463,7500,99.51,45.2,1978,41.3,100,1,512,2024-01-15T09:30:00Z
1,5,latency-measurement,5000,100,1.28,1.25,1.86,2.1,489,0,0,,38.7,1812,31.4,100,1,512,2024-01-15T11:00:00Z
1,6,scalability-block10,10000,1823,1.87,1.82,2.54,2.91,612,0,0,,39.1,1834,29.7,10,1,512,2024-01-15T11:30:00Z
1,7,scalability-block50,10000,2341,1.54,1.51,2.18,2.47,534,0,0,,41.4,1876,34.8,50,1,512,2024-01-15T12:00:00Z
1,8,scalability-block100,10000,2791,1.32,1.29,1.91,2.17,495,0,0,,44.8,1956,39.2,100,1,512,2024-01-15T12:30:00Z
1,9,scalability-block200,10000,2654,1.41,1.38,2.03,2.29,511,0,0,,46.3,2012,40.1,200,1,512,2024-01-15T13:00:00Z
1,10,scalability-block500,10000,2187,1.73,1.69,2.41,2.73,578,0,0,,48.7,2134,37.4,500,1,512,2024-01-15T13:30:00Z
2,1,drug-registration,10000,2743,1.33,1.3,1.91,2.16,489,0,0,,42.7,1851,38.4,100,1,512,2024-01-16T08:00:00Z
2,2,custody-transfer,25000,2819,1.28,1.25,1.86,2.1,488,3734,3750,99.57,44.3,1931,39.9,100,1,512,2024-01-16T08:45:00Z
2,3,counterfeit-alert,5000,2847,1.26,1.23,1.84,2.08,481,748,750,99.73,43.9,1908,39.1,100,1,512,2024-01-16T09:15:00Z
2,4,peak-throughput,50000,2812,1.3,1.27,1.89,2.15,492,7481,7500,99.75,45.6,1984,41.7,100,1,512,2024-01-16T09:30:00Z
2,5,latency-measurement,5000,100,1.27,1.24,1.85,2.09,487,0,0,,38.9,1819,31.6,100,1,512,2024-01-16T11:00:00Z
2,6,scalability-block10,10000,1837,1.85,1.8,2.52,2.89,608,0,0,,39.3,1838,29.9,10,1,512,2024-01-16T11:30:00Z
2,7,scalability-block50,10000,2358,1.52,1.49,2.16,2.45,531,0,0,,41.7,1882,35.1,50,1,512,2024-01-16T12:00:00Z
2,8,scalability-block100,10000,2812,1.3,1.27,1.89,2.15,492,0,0,,45.1,1961,39.5,100,1,512,2024-01-16T12:30:00Z
2,9,scalability-block200,10000,2671,1.39,1.36,2.01,2.27,508,0,0,,46.7,2018,40.4,200,1,512,2024-01-16T13:00:00Z
2,10,scalability-block500,10000,2201,1.71,1.67,2.39,2.71,574,0,0,,49.1,2141,37.7,500,1,512,2024-01-16T13:30:00Z
3,1,drug-registration,10000,2768,1.3,1.27,1.88,2.13,485,0,0,,42.1,1843,38,100,1,512,2024-01-17T08:00:00Z
3,2,custody-transfer,25000,2789,1.31,1.28,1.89,2.13,493,3727,3750,99.39,43.9,1919,39.5,100,1,512,2024-01-17T08:45:00Z
3,3,counterfeit-alert,5000,2821,1.28,1.25,1.86,2.1,484,749,750,99.87,43.6,1897,38.7,100,1,512,2024-01-17T09:15:00Z
3,4,peak-throughput,50000,2778,1.33,1.3,1.92,2.18,497,7474,7500,99.65,44.9,1971,41.1,100,1,512,2024-01-17T09:30:00Z
3,5,latency-measurement,5000,100,1.3,1.27,1.88,2.12,491,0,0,,38.5,1808,31.2,100,1,512,2024-01-17T11:00:00Z
3,6,scalability-block10,10000,1811,1.89,1.84,2.57,2.94,617,0,0,,38.9,1829,29.5,10,1,512,2024-01-17T11:30:00Z
3,7,scalability-block50,10000,2327,1.56,1.53,2.21,2.5,537,0,0,,41.2,1871,34.5,50,1,512,2024-01-17T12:00:00Z
3,8,scalability-block100,10000,2778,1.33,1.3,1.92,2.18,497,0,0,,44.5,1949,38.9,100,1,512,2024-01-17T12:30:00Z
3,9,scalability-block200,10000,2641,1.43,1.4,2.06,2.33,515,0,0,,46,2007,39.8,200,1,512,2024-01-17T13:00:00Z
3,10,scalability-block500,10000,2174,1.75,1.71,2.44,2.77,581,0,0,,48.4,2128,37.1,500,1,512,2024-01-17T13:30:00Z
4,1,drug-registration,10000,2781,1.29,1.26,1.87,2.12,484,0,0,,42.5,1854,38.5,100,1,512,2024-01-18T08:00:00Z
4,2,custody-transfer,25000,2831,1.27,1.24,1.85,2.09,487,3741,3750,99.76,44.5,1935,40.1,100,1,512,2024-01-18T08:45:00Z
4,3,counterfeit-alert,5000,2859,1.25,1.22,1.83,2.07,479,750,750,100,44.1,1912,39.3,100,1,512,2024-01-18T09:15:00Z
4,4,peak-throughput,50000,2847,1.28,1.25,1.87,2.13,490,7493,7500,99.91,45.8,1987,41.9,100,1,512,2024-01-18T09:30:00Z
4,5,latency-measurement,5000,100,1.26,1.23,1.84,2.08,486,0,0,,38.8,1815,31.5,100,1,512,2024-01-18T11:00:00Z
4,6,scalability-block10,10000,1849,1.83,1.78,2.5,2.87,604,0,0,,39.5,1841,30.1,10,1,512,2024-01-18T11:30:00Z
4,7,scalability-block50,10000,2372,1.51,1.48,2.15,2.44,529,0,0,,41.9,1885,35.3,50,1,512,2024-01-18T12:00:00Z
4,8,scalability-block100,10000,2847,1.28,1.25,1.87,2.13,490,0,0,,45.4,1964,39.7,100,1,512,2024-01-18T12:30:00Z
4,9,scalability-block200,10000,2683,1.38,1.35,2,2.26,506,0,0,,46.9,2021,40.6,200,1,512,2024-01-18T13:00:00Z
4,10,scalability-block500,10000,2213,1.7,1.66,2.38,2.7,572,0,0,,49.3,2145,37.9,500,1,512,2024-01-18T13:30:00Z
5,1,drug-registration,10000,2734,1.34,1.31,1.92,2.17,491,0,0,,42,1845,38.1,100,1,512,2024-01-19T08:00:00Z
5,2,custody-transfer,25000,2776,1.32,1.29,1.9,2.14,494,3718,3750,99.15,43.7,1916,39.3,100,1,512,2024-01-19T08:45:00Z
5,3,counterfeit-alert,5000,2812,1.29,1.26,1.87,2.11,485,746,750,99.47,43.4,1894,38.6,100,1,512,2024-01-19T09:15:00Z
5,4,peak-throughput,50000,2769,1.34,1.31,1.93,2.19,498,7461,7500,99.48,44.7,1968,40.9,100,1,512,2024-01-19T09:30:00Z
5,5,latency-measurement,5000,100,1.31,1.28,1.89,2.13,492,0,0,,38.4,1806,31.1,100,1,512,2024-01-19T11:00:00Z
5,6,scalability-block10,10000,1798,1.91,1.86,2.59,2.96,621,0,0,,38.7,1826,29.3,10,1,512,2024-01-19T11:30:00Z
5,7,scalability-block50,10000,2314,1.58,1.55,2.23,2.52,539,0,0,,41,1868,34.3,50,1,512,2024-01-19T12:00:00Z
5,8,scalability-block100,10000,2769,1.34,1.31,1.93,2.19,498,0,0,,44.3,1946,38.7,100,1,512,2024-01-19T12:30:00Z
5,9,scalability-block200,10000,2632,1.44,1.41,2.07,2.34,517,0,0,,45.8,2004,39.6,200,1,512,2024-01-19T13:00:00Z
5,10,scalability-block500,10000,2163,1.76,1.72,2.45,2.78,583,0,0,,48.2,2124,37,500,1,512,2024-01-19T13:30:00Z
6,1,drug-registration,10000,2759,1.32,1.29,1.9,2.15,488,0,0,,42.4,1849,38.3,100,1,512,2024-01-22T08:00:00Z
6,2,custody-transfer,25000,2808,1.3,1.27,1.88,2.12,490,3732,3750,99.52,44.2,1927,39.8,100,1,512,2024-01-22T08:45:00Z
6,3,counterfeit-alert,5000,2839,1.27,1.24,1.85,2.09,482,748,750,99.73,43.7,1904,38.9,100,1,512,2024-01-22T09:15:00Z
6,4,peak-throughput,50000,2798,1.31,1.28,1.9,2.16,493,7478,7500,99.71,45.3,1981,41.4,100,1,512,2024-01-22T09:30:00Z
6,5,latency-measurement,5000,100,1.29,1.26,1.87,2.11,490,0,0,,38.6,1811,31.3,100,1,512,2024-01-22T11:00:00Z
6,6,scalability-block10,10000,1826,1.86,1.81,2.53,2.9,610,0,0,,39.2,1836,29.8,10,1,512,2024-01-22T11:30:00Z
6,7,scalability-block50,10000,2349,1.53,1.5,2.17,2.46,533,0,0,,41.5,1878,34.9,50,1,512,2024-01-22T12:00:00Z
6,8,scalability-block100,10000,2798,1.31,1.28,1.9,2.16,493,0,0,,44.9,1958,39.3,100,1,512,2024-01-22T12:30:00Z
6,9,scalability-block200,10000,2659,1.4,1.37,2.02,2.28,509,0,0,,46.4,2014,40.2,200,1,512,2024-01-22T13:00:00Z
6,10,scalability-block500,10000,2191,1.72,1.68,2.4,2.72,576,0,0,,48.8,2137,37.5,500,1,512,2024-01-22T13:30:00Z
7,1,drug-registration,10000,2771,1.3,1.27,1.88,2.13,486,0,0,,42.2,1846,38.2,100,1,512,2024-01-23T08:00:00Z
7,2,custody-transfer,25000,2823,1.28,1.25,1.86,2.1,489,3738,3750,99.68,44.4,1933,40,100,1,512,2024-01-23T08:45:00Z
7,3,counterfeit-alert,5000,2851,1.26,1.23,1.84,2.08,480,749,750,99.87,43.8,1906,39,100,1,512,2024-01-23T09:15:00Z
7,4,peak-throughput,50000,2831,1.29,1.26,1.88,2.14,491,7487,7500,99.83,45.7,1986,41.8,100,1,512,2024-01-23T09:30:00Z
7,5,latency-measurement,5000,100,1.27,1.24,1.85,2.09,488,0,0,,38.8,1817,31.5,100,1,512,2024-01-23T11:00:00Z
7,6,scalability-block10,10000,1841,1.84,1.79,2.51,2.88,606,0,0,,39.4,1840,30,10,1,512,2024-01-23T11:30:00Z
7,7,scalability-block50,10000,2363,1.52,1.49,2.16,2.45,531,0,0,,41.8,1883,35.2,50,1,512,2024-01-23T12:00:00Z
7,8,scalability-block100,10000,2831,1.29,1.26,1.88,2.14,491,0,0,,45.2,1962,39.6,100,1,512,2024-01-23T12:30:00Z
7,9,scalability-block200,10000,2676,1.39,1.36,2.01,2.27,507,0,0,,46.8,2019,40.5,200,1,512,2024-01-23T13:00:00Z
7,10,scalability-block500,10000,2207,1.71,1.67,2.39,2.71,573,0,0,,49.2,2143,37.8,500,1,512,2024-01-23T13:30:00Z
8,1,drug-registration,10000,2748,1.33,1.3,1.91,2.16,490,0,0,,42.6,1852,38.4,100,1,512,2024-01-24T08:00:00Z
8,2,custody-transfer,25000,2794,1.31,1.28,1.89,2.13,492,3724,3750,99.31,44,1921,39.6,100,1,512,2024-01-24T08:45:00Z
8,3,counterfeit-alert,5000,2828,1.28,1.25,1.86,2.1,483,747,750,99.6,43.5,1899,38.8,100,1,512,2024-01-24T09:15:00Z
8,4,peak-throughput,50000,2784,1.33,1.3,1.92,2.18,496,7469,7500,99.59,45.1,1974,41.2,100,1,512,2024-01-24T09:30:00Z
8,5,latency-measurement,5000,100,1.3,1.27,1.88,2.12,491,0,0,,38.5,1809,31.2,100,1,512,2024-01-24T11:00:00Z
8,6,scalability-block10,10000,1815,1.88,1.83,2.56,2.93,615,0,0,,39,1831,29.6,10,1,512,2024-01-24T11:30:00Z
8,7,scalability-block50,10000,2333,1.55,1.52,2.2,2.49,536,0,0,,41.3,1873,34.6,50,1,512,2024-01-24T12:00:00Z
8,8,scalability-block100,10000,2784,1.33,1.3,1.92,2.18,496,0,0,,44.6,1951,39,100,1,512,2024-01-24T12:30:00Z
8,9,scalability-block200,10000,2647,1.42,1.39,2.05,2.32,513,0,0,,46.1,2009,39.9,200,1,512,2024-01-24T13:00:00Z
8,10,scalability-block500,10000,2179,1.74,1.7,2.43,2.76,580,0,0,,48.5,2130,37.2,500,1,512,2024-01-24T13:30:00Z
9,1,drug-registration,10000,2762,1.31,1.28,1.89,2.14,487,0,0,,42.3,1848,38.3,100,1,512,2024-01-25T08:00:00Z
